x y
2.869076 1.683256
2.879742 1.695032
2.890407 1.706842
2.901073 1.718684
2.911739 1.730558
2.922405 1.742464
2.933070 1.754403
2.943736 1.766374
2.954402 1.778377
2.965067 1.790411
2.975733 1.802478
2.986399 1.814576
2.997065 1.826705
3.007730 1.838866
3.018396 1.851058
3.029062 1.863281
3.039727 1.875535
3.050393 1.887820
3.061059 1.900135
3.071725 1.912482
3.082390 1.924858
3.093056 1.937266
3.103722 1.949703
3.114387 1.962171
3.125053 1.974668
3.135719 1.987196
3.146385 1.999753
3.157050 2.012340
3.167716 2.024956
3.178382 2.037602
3.189047 2.050277
3.199713 2.062981
3.210379 2.075714
3.221044 2.088477
3.231710 2.101267
3.242376 2.114087
3.253042 2.126935
3.263707 2.139811
3.274373 2.152716
3.285039 2.165649
3.295704 2.178610
3.306370 2.191598
3.317036 2.204615
3.327702 2.217659
3.338367 2.230730
3.349033 2.243829
3.359699 2.256955
3.370364 2.270108
3.381030 2.283288
3.391696 2.296495
3.402362 2.309729
3.413027 2.322989
3.423693 2.336276
3.434359 2.349589
3.445024 2.362928
3.455690 2.376294
3.466356 2.389685
3.477022 2.403102
3.487687 2.416545
3.498353 2.430013
3.509019 2.443506
3.519684 2.457025
3.530350 2.470569
3.541016 2.484138
3.551682 2.497732
3.562347 2.511350
3.573013 2.524994
3.583679 2.538661
3.594344 2.552353
3.605010 2.566069
3.615676 2.579809
3.626341 2.593573
3.637007 2.607361
3.647673 2.621172
3.658339 2.635007
3.669004 2.648866
3.679670 2.662747
3.690336 2.676652
3.701001 2.690579
3.711667 2.704530
3.722333 2.718503
3.732999 2.732498
3.743664 2.746516
3.754330 2.760557
3.764996 2.774619
3.775661 2.788703
3.786327 2.802810
3.796993 2.816938
3.807659 2.831087
3.818324 2.845258
3.828990 2.859450
3.839656 2.873664
3.850321 2.887898
3.860987 2.902153
3.871653 2.916429
3.882319 2.930726
3.892984 2.945043
3.903650 2.959380
3.914316 2.973737
3.924981 2.988115
3.935647 3.002512
3.946313 3.016929
3.956978 3.031366
3.967644 3.045822
3.978310 3.060297
3.988976 3.074792
3.999641 3.089306
4.010307 3.103838
4.020973 3.118389
4.031638 3.132959
4.042304 3.147547
4.052970 3.162154
4.063636 3.176779
4.074301 3.191421
4.084967 3.206082
4.095633 3.220760
4.106298 3.235456
4.116964 3.250169
4.127630 3.264900
4.138296 3.279648
4.148961 3.294413
4.159627 3.309194
4.170293 3.323992
4.180958 3.338807
4.191624 3.353639
4.202290 3.368486
4.212956 3.383350
4.223621 3.398229
4.234287 3.413125
4.244953 3.428036
4.255618 3.442963
4.266284 3.457905
4.276950 3.472862
4.287616 3.487834
4.298281 3.502822
4.308947 3.517824
4.319613 3.532840
4.330278 3.547872
4.340944 3.562917
4.351610 3.577977
4.362275 3.593051
4.372941 3.608139
4.383607 3.623240
4.394273 3.638355
4.404938 3.653484
4.415604 3.668625
4.426270 3.683780
4.436935 3.698948
4.447601 3.714129
4.458267 3.729323
4.468933 3.744529
4.479598 3.759747
4.490264 3.774978
4.500930 3.790221
4.511595 3.805476
4.522261 3.820743
4.532927 3.836021
4.543593 3.851311
4.554258 3.866612
4.564924 3.881924
4.575590 3.897247
4.586255 3.912582
4.596921 3.927927
4.607587 3.943282
4.618253 3.958648
4.628918 3.974024
4.639584 3.989411
4.650250 4.004807
4.660915 4.020214
4.671581 4.035630
4.682247 4.051055
4.692912 4.066490
4.703578 4.081934
4.714244 4.097387
4.724910 4.112849
4.735575 4.128320
4.746241 4.143799
4.756907 4.159287
4.767572 4.174783
4.778238 4.190288
4.788904 4.205800
4.799570 4.221320
4.810235 4.236848
4.820901 4.252384
4.831567 4.267927
4.842232 4.283477
4.852898 4.299034
4.863564 4.314598
4.874230 4.330169
4.884895 4.345746
4.895561 4.361330
4.906227 4.376920
4.916892 4.392517
4.927558 4.408119
4.938224 4.423727
4.948890 4.439341
4.959555 4.454960
4.970221 4.470585
4.980887 4.486215
